benchmark,workers,execution time (s),abort rate,avg adjust interval (ms),avg balance interval (ms),avg phase interval (ms)
mrv-flex-vector.balance-none.abort-10x,8,35.6181,0.00266505,2.32132,0,0
mrv-flex-vector.balance-none.abort-10x,8,33.5501,0.00266822,2.12209,0,0
mrv-flex-vector.balance-none.abort-10x,8,34.2647,0.00266838,2.17465,0,0
mrv-flex-vector.balance-none.abort-10x,8,29.5575,0.00266314,2.27896,0,0
mrv-flex-vector.balance-none.abort-10x,16,37.8867,0.00272797,2.46894,0,0
mrv-flex-vector.balance-none.abort-10x,16,35.9731,0.00271626,2.48542,0,0
mrv-flex-vector.balance-none.abort-10x,16,38.2041,0.00272193,2.44242,0,0
mrv-flex-vector.balance-none.abort-10x,16,37.4676,0.0027237,2.39999,0,0
mrv-flex-vector.balance-none.abort-10x,16,37.7223,0.00273777,2.59405,0,0
mrv-flex-vector.balance-none.abort-10x,32,39.9388,0.00303397,5.40411,0,0
mrv-flex-vector.balance-none.abort-10x,32,39.9012,0.00302024,6.78396,0,0
mrv-flex-vector.balance-none.abort-10x,32,40.0157,0.0030169,3.74794,0,0
mrv-flex-vector.balance-none.abort-10x,32,40.5106,0.00302923,3.78956,0,0
mrv-flex-vector.balance-none.abort-10x,32,46.5512,0.00303335,4.8468,0,0
mrv-flex-vector.balance-none.abort-10x,64,65.0718,0.00350353,61.1517,0,0
mrv-flex-vector.balance-none.abort-10x,64,47.1403,0.00346786,53.9687,0,0
mrv-flex-vector.balance-none.abort-10x,64,48.1417,0.00347766,37.0087,0,0
mrv-flex-vector.balance-none.abort-10x,64,51.59,0.00350129,58.6938,0,0
mrv-flex-vector.balance-none.abort-10x,64,65.1655,0.00350541,31.4367,0,0
mrv-flex-vector.balance-none.abort-10x,128,70.8978,0.00438794,688.262,0,0
mrv-flex-vector.balance-none.abort-10x,128,86.9387,0.00447557,1396.46,0,0
mrv-flex-vector.balance-none.abort-10x,128,89.5832,0.00443181,1035.89,0,0
mrv-flex-vector.balance-none.abort-10x,128,72.7629,0.0044042,601.647,0,0
mrv-flex-vector.balance-none.abort-10x,128,68.7254,0.004367,717.683,0,0
pr-array,1,19.4317,0.00112623,0,0,45.7598
pr-array,1,19.2928,0.00112642,0,0,46.4386
pr-array,1,18.9811,0.00112642,0,0,45.7538
pr-array,1,19.5352,0.00112642,0,0,46.6354
pr-array,1,19.3903,0.00112623,0,0,45.6632
pr-array,2,21.7959,0.00186699,0,0,49.2207
pr-array,2,21.1108,0.0018937,0,0,47.9859
pr-array,2,21.7417,0.00185929,0,0,48.8068
pr-array,2,21.5661,0.00189028,0,0,48.122
pr-array,2,21.617,0.00188227,0,0,48.6176
pr-array,4,22.5595,0.00351369,0,0,53.9285
pr-array,4,22.1478,0.00349353,0,0,54.0272
pr-array,4,22.4078,0.00348548,0,0,53.8043
pr-array,4,22.5253,0.00350546,0,0,53.9365
pr-array,4,22.8438,0.00352941,0,0,53.9904
pr-array,8,35.0322,0.00649666,0,0,71.1062
pr-array,8,42.77,0.00683023,0,0,82.9396
pr-array,8,39.6955,0.00662377,0,0,73.7358
pr-array,8,37.9158,0.00652527,0,0,71.4889
pr-array,8,37.3328,0.00660465,0,0,71.7881
pr-array,16,42.6692,0.0210788,0,0,833.246
pr-array,16,42.8967,0.0221734,0,0,1846.16
pr-array,16,42.4358,0.0206963,0,0,766.151
pr-array,16,43.8,0.0204669,0,0,911.691
pr-array,16,43.7821,0.021683,0,0,1729.79
pr-array,32,47.4731,0.0470224,0,0,3145.72
pr-array,32,47.733,0.0481836,0,0,5947.24
pr-array,32,50.2319,0.0478559,0,0,5003.66
pr-array,32,48.771,0.0469005,0,0,2850.22
pr-array,32,47.1933,0.0477274,0,0,5880.41
pr-array,64,60.0717,0.0612896,0,0,11999.5
pr-array,64,63.5251,0.0714498,0,0,15857.4
pr-array,64,58.5887,0.0714705,0,0,14625
pr-array,64,83.176,0.064497,0,0,16611.4
pr-array,64,66.0567,0.0662881,0,0,13199.2
pr-array,128,94.5509,0.0672481,0,0,47256.7
pr-array,128,118.507,0.0916561,0,0,39478.9
pr-array,128,103.582,0.0692216,0,0,51761
pr-array,128,134.428,0.0799789,0,0,44776
pr-array,128,105.264,0.0648815,0,0,35064
