benchmark,workers,execution time (s),padding,read percentage,writes,reads,write throughput (ops/s),read throughput (ops/s),abort rate,avg adjust interval (ms),avg balance interval (ms),avg phase interval (ms)
pr-array,8,60,100000,55,697032,885852,11617.2,14764.2,0.638845,0,0,0.023292
pr-array,8,60,100000,55,681969,852932,11366.1,14215.5,0.641174,0,0,0.021448
pr-array,8,60,100000,55,679550,862145,11325.8,14369.1,0.6395,0,0,0.022598
pr-array,8,60,100000,55,678646,854907,11310.8,14248.5,0.640712,0,0,0.022478
pr-array,8,60,100000,55,665991,812414,11099.9,13540.2,0.642426,0,0,0.030036
pr-array,8,60,100000,60,840388,1274362,14006.5,21239.4,0.611468,0,0,0.022633
pr-array,8,60,100000,60,846585,1281861,14109.8,21364.3,0.606844,0,0,0.023444
pr-array,8,60,100000,60,819251,1249463,13654.2,20824.4,0.611729,0,0,0.024217
pr-array,8,60,100000,60,825209,1297655,13753.5,21627.6,0.610204,0,0,0.022741
pr-array,8,60,100000,60,827101,1238586,13785,20643.1,0.613418,0,0,0.023759
pr-array,8,60,100000,65,814206,1532684,13570.1,25544.7,0.571439,0,0,0.022569
pr-array,8,60,100000,65,795661,1529547,13261,25492.5,0.574326,0,0,0.022052
pr-array,8,60,100000,65,804102,1505412,13401.7,25090.2,0.575943,0,0,0.022465
pr-array,8,60,100000,65,789928,1571231,13165.5,26187.2,0.570237,0,0,0.022428
pr-array,8,60,100000,65,813062,1519270,13551,25321.2,0.577607,0,0,0.021964
pr-array,8,60,100000,70,748379,1870881,12473,31181.3,0.52748,0,0,0.021645
pr-array,8,60,100000,70,747620,1745965,12460.3,29099.4,0.535755,0,0,0.023426
pr-array,8,60,100000,70,749764,1753683,12496.1,29228,0.535614,0,0,0.0229
pr-array,8,60,100000,70,757898,1796427,12631.6,29940.5,0.533424,0,0,0.022454
pr-array,8,60,100000,70,759154,1772484,12652.6,29541.4,0.534835,0,0,0.022657
pr-array,8,60,100000,75,683299,2123950,11388.3,35399.2,0.47959,0,0,0.023566
pr-array,8,60,100000,75,697084,2099709,11618.1,34995.2,0.484307,0,0,0.022882
pr-array,8,60,100000,75,704600,2120504,11743.3,35341.7,0.486439,0,0,0.021224
pr-array,8,60,100000,75,676496,2162584,11274.9,36043.1,0.477635,0,0,0.022474
pr-array,8,60,100000,75,709205,2171752,11820.1,36195.9,0.481885,0,0,0.021022
